GamePk,PitcherId,BatterId,PitchType,PitchCall,is_swing,is_whiff,is_bip,is_hit,ReleaseSpeed,ReleaseExtension
2,7,19,SL,field_error,0,0,0,0,83.51847953,6.372301579
2,7,24,FF,field_out,1,0,1,0,94.97595372,6.538849831
2,1,25,FF,foul,1,0,0,0,87.2965249,6.215474606
2,1,15,SL,ball,0,0,0,0,88.32972266,6.044099808
2,1,25,CH,ball,0,0,0,0,84.53575444,6.102778912
2,1,6,CH,blocked_ball,0,0,0,0,86.24386355,6.315449238
2,1,31,CH,foul,1,0,0,0,86.40475026,6.108050823
2,1,16,SL,field_out,1,0,1,0,88.31184549,6.076860428
2,1,11,CH,swinging_strike,1,1,0,0,86.27683299,6.469683647
2,1,15,SL,swinging_strike,1,1,0,0,88.96505476,6.045986652
2,1,15,FF,ball,0,0,0,0,85.91422167,6.267384052
2,1,12,SL,swinging_strike,1,1,0,0,88.28908168,6.199095249
2,1,6,CH,foul,1,0,0,0,85.96577707,6.198470592
2,1,31,SL,double,1,0,1,1,88.35374927,6.133545399
2,7,21,SI,single,1,0,1,1,94.78944282,6.52317667
2,7,13,,pickoff_attempt_1b,0,0,0,0,,
2,7,13,CU,blocked_ball,0,0,0,0,81.70731223,6.35529089
2,7,13,,pickoff_attempt_1b,0,0,0,0,,
2,7,13,FF,called_strike,0,0,0,0,94.29173393,6.47889328
2,7,13,SI,ball,0,0,0,0,91.93710936,6.54191494
2,7,13,SI,ball,0,0,0,0,92.84119084,6.544855595
2,7,13,SI,walk,0,0,0,0,91.7222991,6.475706577
2,7,4,SI,foul,1,0,0,0,95.91634009,6.505745888
2,7,4,SI,foul,1,0,0,0,92.53839482,6.47277832
2,7,4,FF,force_out,1,0,1,0,91.28922734,6.458954334
2,7,26,SI,sac_bunt,1,0,1,0,93.93464605,6.580793858
2,7,34,FF,ball,0,0,0,0,94.67522477,6.468401432
2,7,34,FF,ball,0,0,0,0,94.82677625,6.548276424
2,7,34,FC,foul,1,0,0,0,87.98626748,6.452259541
2,7,34,FF,ball,0,0,0,0,94.38971122,6.492803574
2,7,34,FC,walk,0,0,0,0,88.04944024,6.492143154
2,7,18,SL,swinging_strike,1,1,0,0,84.67624583,6.578164101
2,7,18,SL,swinging_strike_blocked,0,0,0,0,84.48042547,6.583976746
2,7,18,SI,strikeout,0,0,0,0,95.62202614,6.756225109
2,1,5,CH,ball,0,0,0,0,85.44700896,6.211310387
2,1,8,SL,strikeout,0,0,0,0,86.28973065,5.982990742
2,1,12,FF,foul,1,0,0,0,84.65965734,6.397374153
2,1,31,CH,ball,0,0,0,0,85.28352576,6.299145222
2,1,6,FF,ball,0,0,0,0,85.52263583,6.240151405
2,1,12,CH,field_out,1,0,1,0,86.93983919,6.299559116
2,1,25,CH,field_out,1,0,1,0,86.58012131,6.361046791
2,1,31,CU,foul,1,0,0,0,79.03105753,6.369194031
2,1,6,CU,strikeout,0,0,0,0,77.45166497,6.219442844
2,15,2,FF,foul,1,0,0,0,95.78858065,6.441900253
2,15,2,SL,ball,0,0,0,0,82.22421887,6.057560444
2,15,2,FF,ball,0,0,0,0,96.86755279,6.467529297
2,15,2,FF,foul,1,0,0,0,97.47585957,6.489552498
2,15,2,FF,strikeout,0,0,0,0,96.28227725,6.501377583
2,15,19,SL,ball,0,0,0,0,81.37367257,6.365248203
2,15,19,CH,swinging_strike,1,1,0,0,87.89229928,6.411508083
2,15,19,CH,foul,1,0,0,0,89.17697641,6.35380125
2,15,19,FF,ball,0,0,0,0,98.79374298,6.607139587
2,15,19,FF,strikeout,0,0,0,0,97.81140183,6.418642998
2,15,24,CH,called_strike,0,0,0,0,87.76144498,6.39619875
2,15,24,FF,ball,0,0,0,0,97.72505973,6.300609112
2,15,24,FF,ball,0,0,0,0,97.95136839,6.487044811
2,15,24,CH,swinging_strike,1,1,0,0,89.21736523,6.5648036
2,15,24,FF,ball,0,0,0,0,98.74558664,6.262099743
2,15,24,FF,foul,1,0,0,0,95.53481548,6.520931721
2,15,24,CH,field_out,1,0,1,0,87.83082462,6.559472084
2,1,25,CU,field_out,1,0,1,0,77.50308291,6.24929285
2,1,11,CU,strikeout,0,0,0,0,78.35479984,6.149640083
2,1,15,CU,strikeout,0,0,0,0,78.02103216,6.216861725
2,1,6,CU,blocked_ball,0,0,0,0,78.21580529,6.399150372
